# AAII Investor Sentiment Survey: weekly bullish / neutral / bearish percentages by reported date (Thursday).
# Source: American Association of Individual Investors (aaii.com), sentiment.xls saved 2026-09-19. Personal use.
reported,bullish,neutral,bearish
1999-09-02,44.00,38.00,18.00
1999-09-09,37.00,38.00,25.00
1999-09-16,36.00,43.00,21.00
1999-09-23,36.00,36.00,28.00
1999-09-30,35.00,42.00,23.00
1999-10-07,34.00,38.00,28.00
1999-10-14,42.00,39.00,19.00
1999-10-21,38.00,37.00,25.00
1999-10-28,38.00,38.00,24.00
1999-11-04,43.00,35.00,22.00
1999-11-11,48.00,26.00,26.00
1999-11-18,46.00,32.00,22.00
1999-11-24,55.00,28.00,17.00
1999-12-02,62.00,25.00,13.00
1999-12-09,62.00,27.00,11.00
1999-12-16,54.00,26.00,20.00
1999-12-23,52.00,31.00,17.00
1999-12-30,60.00,25.00,15.00
2000-01-06,75.00,11.66,13.33
2000-01-13,59.26,22.22,18.52
2000-01-20,57.14,25.00,17.86
2000-01-27,53.70,25.93,20.37
2000-02-03,51.11,24.44,24.44
2000-02-10,41.86,30.23,27.91
2000-02-17,27.27,48.48,24.24
2000-02-24,41.38,27.59,31.03
2000-03-02,36.67,40.00,23.33
2000-03-08,58.33,25.00,16.67
2000-03-16,50.00,23.33,26.67
2000-03-23,65.71,14.29,20.00
2000-03-30,38.89,11.11,50.00
2000-04-06,45.83,33.33,20.83
2000-04-13,51.85,18.52,29.63
2000-04-20,63.73,13.73,22.55
2000-04-27,61.29,24.19,14.52
2000-05-04,34.78,30.43,34.78
2000-05-11,30.23,44.19,25.58
2000-05-18,35.29,23.53,41.18
2000-05-25,34.92,28.57,36.51
2000-06-01,41.67,20.83,37.50
2000-06-08,61.54,15.38,23.08
2000-06-15,43.75,37.50,18.75
2000-06-22,26.67,33.33,40.00
2000-07-06,56.10,28.05,15.85
2000-07-13,65.00,15.00,20.00
2000-07-20,66.67,21.33,12.00
2000-07-27,42.86,37.14,20.00
2000-08-03,41.30,34.78,23.91
2000-08-10,54.10,34.43,11.48
2000-08-17,59.38,21.88,18.75
2000-08-23,57.69,19.23,23.08
2000-08-31,55.88,26.47,17.65
2000-09-07,62.50,29.17,8.33
2000-09-14,41.18,35.29,23.53
2000-09-21,43.75,37.50,18.75
2000-09-28,53.33,40.00,6.67
2000-10-05,41.94,32.26,25.81
2000-10-12,41.46,26.83,31.71
2000-10-19,48.89,26.67,24.44
2000-10-26,64.10,17.95,17.95
2000-11-02,51.61,25.81,22.58
2000-11-09,62.86,28.57,8.57
2000-11-16,45.83,37.50,16.67
2000-11-23,36.51,26.98,36.51
2000-11-30,60.42,22.92,16.67
2000-12-07,47.06,15.69,37.25
2000-12-14,59.62,7.69,32.69
2000-12-21,31.11,17.78,51.11
2000-12-28,40.00,28.00,32.00
2001-01-04,42.59,33.33,24.07
2001-01-11,35.71,21.43,42.86
2001-01-18,36.59,39.02,24.39
2001-01-25,49.23,24.62,26.15
